report_id,country,region,bacterial_species,antibiotic,year,resistance_rate,mortality_rate,infection_type,sample_size
39,France,Europe,Staphylococcus aureus,Ciprofloxacin,2022,18.9,2.0,hospital,300
40,India,Southeast Asia,Pseudomonas aeruginosa,Ceftriaxone,2021,48.5,12.5,hospital,100
41,Japan,East Asia,Acinetobacter baumannii,Meropenem,2020,31.6,3.9,hospital,200
42,Brazil,South America,Acinetobacter baumannii,Ciprofloxacin,2023,49.2,8.8,community,150
43,Australia,Oceania,Acinetobacter baumannii,Vancomycin,2020,11.2,1.7,hospital,100
44,Germany,Europe,Escherichia coli,Ceftriaxone,2023,29.1,7.6,community,100
45,South Africa,Africa,Klebsiella pneumoniae,Ceftriaxone,2023,54.1,11.4,hospital,200
46,Nigeria,Africa,Acinetobacter baumannii,Ceftriaxone,2021,37.7,5.5,hospital,300
47,Germany,Europe,Pseudomonas aeruginosa,Vancomycin,2021,21.9,7.3,hospital,250
48,India,Southeast Asia,Klebsiella pneumoniae,Vancomycin,2018,36.8,5.8,hospital,250
49,Germany,Europe,Pseudomonas aeruginosa,Vancomycin,2019,25.3,1.8,hospital,300
50,India,Southeast Asia,Escherichia coli,Vancomycin,2018,59.7,9.1,community,250
51,France,Europe,Staphylococcus aureus,Ciprofloxacin,2021,27.9,6.0,community,150
52,Australia,Oceania,Escherichia coli,Ceftriaxone,2020,17.2,6.1,community,250
53,India,Southeast Asia,Acinetobacter baumannii,Vancomycin,2021,55.2,10.8,hospital,200
54,USA,North America,Pseudomonas aeruginosa,Vancomycin,2023,24.6,6.4,community,250
55,South Africa,Africa,Escherichia coli,Ceftriaxone,2022,68.4,13.2,hospital,300
56,India,Southeast Asia,Escherichia coli,Ciprofloxacin,2020,45.9,6.9,hospital,200
57,USA,North America,Escherichia coli,Amoxicillin,2021,17.9,1.0,hospital,150
58,Nigeria,Africa,Staphylococcus aureus,Ciprofloxacin,2022,44.0,6.5,hospital,300
59,Japan,East Asia,Staphylococcus aureus,Ceftriaxone,2022,26.5,4.0,hospital,300
60,China,East Asia,Escherichia coli,Ceftriaxone,2018,38.2,9.5,hospital,150
61,Germany,Europe,Klebsiella pneumoniae,Ceftriaxone,2018,19.5,0.5,community,150
62,Nigeria,Africa,Klebsiella pneumoniae,Amoxicillin,2019,61.6,16.3,community,200
63,China,East Asia,Pseudomonas aeruginosa,Vancomycin,2018,17.3,8.1,community,300
64,India,Southeast Asia,Staphylococcus aureus,Ceftriaxone,2019,67.3,16.3,community,250
65,Japan,East Asia,Escherichia coli,Amoxicillin,2018,19.0,5.3,hospital,200
66,India,Southeast Asia,Staphylococcus aureus,Ciprofloxacin,2018,62.4,16.0,hospital,250
67,South Africa,Africa,Klebsiella pneumoniae,Vancomycin,2023,70.6,12.9,community,150
68,Japan,East Asia,Pseudomonas aeruginosa,Vancomycin,2020,28.8,4.1,community,300
69,Australia,Oceania,Klebsiella pneumoniae,Meropenem,2019,19.1,0.5,community,100
70,Japan,East Asia,Escherichia coli,Meropenem,2021,20.8,6.0,community,100
71,India,Southeast Asia,Staphylococcus aureus,Ciprofloxacin,2019,44.9,6.7,hospital,300
72,Australia,Oceania,Staphylococcus aureus,Amoxicillin,2023,27.9,3.9,community,150
73,Australia,Oceania,Escherichia coli,Ceftriaxone,2023,20.2,2.4,hospital,150
74,Brazil,South America,Escherichia coli,Amoxicillin,2022,36.0,6.0,community,200
75,Australia,Oceania,Klebsiella pneumoniae,Ceftriaxone,2021,22.4,6.5,hospital,300
76,Japan,East Asia,Staphylococcus aureus,Ceftriaxone,2022,30.7,3.9,community,300
77,Nigeria,Africa,Escherichia coli,Meropenem,2018,37.3,11.7,community,300
78,China,East Asia,Klebsiella pneumoniae,Ceftriaxone,2018,30.7,5.6,community,200
79,South Africa,Africa,Acinetobacter baumannii,Vancomycin,2020,35.0,7.1,hospital,150
80,India,Southeast Asia,Acinetobacter baumannii,Ciprofloxacin,2019,57.5,10.5,hospital,300
81,Brazil,South America,Acinetobacter baumannii,Meropenem,2020,45.8,4.5,community,200
82,USA,North America,Pseudomonas aeruginosa,Amoxicillin,2018,22.0,8.3,community,150
83,Germany,Europe,Escherichia coli,Ciprofloxacin,2018,21.4,4.3,community,300
84,Australia,Oceania,Acinetobacter baumannii,Ceftriaxone,2021,15.2,0.5,community,250
85,India,Southeast Asia,Acinetobacter baumannii,Vancomycin,2022,78.9,14.2,hospital,100
86,Nigeria,Africa,Pseudomonas aeruginosa,Ciprofloxacin,2021,44.5,10.3,hospital,150
87,Germany,Europe,Klebsiella pneumoniae,Ceftriaxone,2019,14.6,0.5,hospital,200
88,Australia,Oceania,Pseudomonas aeruginosa,Meropenem,2023,23.1,0.6,hospital,250
89,Brazil,South America,Escherichia coli,Vancomycin,2019,47.9,4.8,hospital,150
90,Brazil,South America,Escherichia coli,Ceftriaxone,2021,30.4,4.7,community,150
91,South Africa,Africa,Klebsiella pneumoniae,Ceftriaxone,2022,63.1,9.8,hospital,200
92,Australia,Oceania,Escherichia coli,Meropenem,2018,11.5,0.5,hospital,200
93,South Africa,Africa,Staphylococcus aureus,Meropenem,2018,28.4,3.6,community,100
94,Japan,East Asia,Pseudomonas aeruginosa,Vancomycin,2021,47.2,6.4,hospital,250
95,India,Southeast Asia,Pseudomonas aeruginosa,Amoxicillin,2023,46.1,9.6,hospital,300
96,India,Southeast Asia,Klebsiella pneumoniae,Vancomycin,2018,62.5,16.7,hospital,100
97,India,Southeast Asia,Acinetobacter baumannii,Ciprofloxacin,2020,56.1,8.8,hospital,150
98,France,Europe,Acinetobacter baumannii,Meropenem,2018,21.8,4.2,hospital,300
99,China,East Asia,Staphylococcus aureus,Amoxicillin,2020,26.5,6.1,hospital,150
100,India,Southeast Asia,Klebsiella pneumoniae,Ceftriaxone,2020,66.8,10.1,hospital,200
101,Australia,Oceania,Escherichia coli,Ceftriaxone,2020,12.2,1.3,community,100
102,Australia,Oceania,Pseudomonas aeruginosa,Ceftriaxone,2021,23.3,7.4,community,200
103,China,East Asia,Klebsiella pneumoniae,Ciprofloxacin,2021,40.3,7.0,community,150
104,Brazil,South America,Klebsiella pneumoniae,Vancomycin,2020,34.4,8.3,hospital,300
105,China,East Asia,Staphylococcus aureus,Amoxicillin,2021,41.1,4.0,community,300
106,India,Southeast Asia,Pseudomonas aeruginosa,Meropenem,2021,49.5,7.6,community,100
107,India,Southeast Asia,Escherichia coli,Ceftriaxone,2020,38.0,4.3,community,200
108,USA,North America,Pseudomonas aeruginosa,Amoxicillin,2018,15.1,0.5,hospital,300
109,Japan,East Asia,Pseudomonas aeruginosa,Amoxicillin,2020,22.7,4.4,hospital,300
110,USA,North America,Pseudomonas aeruginosa,Meropenem,2023,33.4,10.4,community,300
111,Nigeria,Africa,Staphylococcus aureus,Vancomycin,2022,31.1,5.5,hospital,250
112,India,Southeast Asia,Escherichia coli,Vancomycin,2018,35.9,7.0,hospital,150
113,Germany,Europe,Klebsiella pneumoniae,Meropenem,2018,15.9,6.4,hospital,150
114,Brazil,South America,Acinetobacter baumannii,Meropenem,2020,50.0,7.1,hospital,150
115,Australia,Oceania,Staphylococcus aureus,Ceftriaxone,2021,14.4,5.6,community,100
116,France,Europe,Escherichia coli,Vancomycin,2018,23.8,9.2,community,250
117,Nigeria,Africa,Escherichia coli,Meropenem,2022,47.8,10.8,community,150
118,Brazil,South America,Escherichia coli,Ceftriaxone,2021,50.3,13.1,community,200
119,Nigeria,Africa,Pseudomonas aeruginosa,Meropenem,2018,37.8,5.6,hospital,100
120,South Africa,Africa,Pseudomonas aeruginosa,Amoxicillin,2020,35.1,8.5,hospital,300
121,India,Southeast Asia,Klebsiella pneumoniae,Ciprofloxacin,2020,50.7,11.9,community,100
122,Brazil,South America,Klebsiella pneumoniae,Ceftriaxone,2019,40.2,10.4,community,150
123,South Africa,Africa,Acinetobacter baumannii,Ceftriaxone,2018,43.2,5.1,hospital,100
124,France,Europe,Acinetobacter baumannii,Meropenem,2018,29.8,3.7,community,200
125,Japan,East Asia,Acinetobacter baumannii,Ciprofloxacin,2022,45.5,7.8,hospital,100
126,India,Southeast Asia,Acinetobacter baumannii,Ciprofloxacin,2020,70.4,17.3,hospital,150
127,India,Southeast Asia,Escherichia coli,Meropenem,2020,68.5,16.7,hospital,200
128,Japan,East Asia,Pseudomonas aeruginosa,Vancomycin,2018,39.3,11.3,hospital,300
129,Japan,East Asia,Staphylococcus aureus,Vancomycin,2022,38.1,4.7,community,150
130,Australia,Oceania,Klebsiella pneumoniae,Ciprofloxacin,2020,13.5,1.5,hospital,100
131,South Africa,Africa,Staphylococcus aureus,Ciprofloxacin,2022,42.1,6.7,community,250
132,France,Europe,Escherichia coli,Ciprofloxacin,2022,30.2,9.6,community,300
133,USA,North America,Staphylococcus aureus,Meropenem,2018,21.9,0.5,community,200
134,Brazil,South America,Pseudomonas aeruginosa,Vancomycin,2023,33.3,11.6,hospital,150
135,South Africa,Africa,Acinetobacter baumannii,Ceftriaxone,2023,41.5,3.6,hospital,300
136,Japan,East Asia,Pseudomonas aeruginosa,Meropenem,2021,24.8,1.7,community,150
137,China,East Asia,Pseudomonas aeruginosa,Amoxicillin,2019,24.1,6.5,hospital,100
138,USA,North America,Pseudomonas aeruginosa,Ceftriaxone,2018,11.0,1.8,hospital,250
139,South Africa,Africa,Pseudomonas aeruginosa,Ciprofloxacin,2023,47.0,5.8,hospital,100
140,USA,North America,Klebsiella pneumoniae,Vancomycin,2018,10.1,4.7,community,250
141,China,East Asia,Acinetobacter baumannii,Meropenem,2022,30.2,1.3,hospital,150
142,Australia,Oceania,Acinetobacter baumannii,Ceftriaxone,2021,22.0,3.8,community,300
143,South Africa,Africa,Escherichia coli,Vancomycin,2018,49.5,9.7,hospital,200
144,Japan,East Asia,Acinetobacter baumannii,Meropenem,2019,27.4,2.4,hospital,100
145,France,Europe,Klebsiella pneumoniae,Ceftriaxone,2020,14.3,0.5,community,300
146,India,Southeast Asia,Escherichia coli,Meropenem,2021,58.8,9.2,community,100
147,France,Europe,Klebsiella pneumoniae,Vancomycin,2020,14.6,4.8,community,100
148,France,Europe,Escherichia coli,Ciprofloxacin,2018,26.7,8.8,community,150
149,France,Europe,Klebsiella pneumoniae,Vancomycin,2022,18.3,0.5,community,150
150,USA,North America,Acinetobacter baumannii,Meropenem,2022,22.0,5.1,community,250
151,China,East Asia,Staphylococcus aureus,Amoxicillin,2019,28.4,6.0,community,150
152,China,East Asia,Klebsiella pneumoniae,Ceftriaxone,2022,30.5,4.3,hospital,150
153,South Africa,Africa,Klebsiella pneumoniae,Ceftriaxone,2020,44.9,7.3,community,100
154,Germany,Europe,Escherichia coli,Ciprofloxacin,2020,30.0,8.0,hospital,100
155,USA,North America,Pseudomonas aeruginosa,Ceftriaxone,2018,13.0,2.4,community,150
156,Japan,East Asia,Acinetobacter baumannii,Meropenem,2019,23.2,6.0,community,300
157,Australia,Oceania,Klebsiella pneumoniae,Ciprofloxacin,2018,5.9,3.7,hospital,300
158,Germany,Europe,Staphylococcus aureus,Ceftriaxone,2022,20.7,1.4,community,150
159,USA,North America,Acinetobacter baumannii,Vancomycin,2018,5.2,0.6,community,200
160,Nigeria,Africa,Klebsiella pneumoniae,Ceftriaxone,2021,70.8,15.8,community,300
161,China,East Asia,Escherichia coli,Amoxicillin,2019,19.6,5.9,community,250
162,USA,North America,Acinetobacter baumannii,Ciprofloxacin,2020,22.2,0.6,hospital,250
163,Nigeria,Africa,Pseudomonas aeruginosa,Ceftriaxone,2020,29.8,10.8,hospital,250
164,Brazil,South America,Pseudomonas aeruginosa,Vancomycin,2018,40.7,10.8,community,150
165,Nigeria,Africa,Escherichia coli,Meropenem,2020,34.5,4.1,hospital,300
166,Australia,Oceania,Escherichia coli,Ceftriaxone,2022,13.4,4.3,community,300
167,India,Southeast Asia,Escherichia coli,Amoxicillin,2018,47.1,12.9,hospital,150
168,Brazil,South America,Pseudomonas aeruginosa,Meropenem,2022,57.1,7.5,hospital,150
169,Japan,East Asia,Pseudomonas aeruginosa,Meropenem,2018,24.6,4.9,hospital,100
170,Nigeria,Africa,Klebsiella pneumoniae,Ciprofloxacin,2023,56.7,13.6,hospital,300
171,Australia,Oceania,Escherichia coli,Ceftriaxone,2018,5.6,0.5,community,100
172,Brazil,South America,Pseudomonas aeruginosa,Meropenem,2019,38.3,8.6,hospital,150
173,USA,North America,Klebsiella pneumoniae,Ciprofloxacin,2018,8.7,4.9,community,300
174,Nigeria,Africa,Acinetobacter baumannii,Amoxicillin,2020,43.5,13.5,hospital,200
175,Australia,Oceania,Pseudomonas aeruginosa,Amoxicillin,2020,19.2,6.2,hospital,100
176,Nigeria,Africa,Klebsiella pneumoniae,Vancomycin,2021,36.9,3.8,hospital,100
177,USA,North America,Pseudomonas aeruginosa,Vancomycin,2020,14.7,2.6,community,200
178,South Africa,Africa,Acinetobacter baumannii,Vancomycin,2023,69.9,15.5,community,100
179,Nigeria,Africa,Pseudomonas aeruginosa,Ciprofloxacin,2021,63.3,9.1,hospital,150
180,Australia,Oceania,Klebsiella pneumoniae,Meropenem,2020,23.0,1.5,community,200
181,Brazil,South America,Escherichia coli,Vancomycin,2021,50.8,6.7,hospital,100
182,India,Southeast Asia,Escherichia coli,Meropenem,2021,74.4,15.5,hospital,150
183,Japan,East Asia,Escherichia coli,Ciprofloxacin,2019,26.8,1.9,hospital,200
184,USA,North America,Staphylococcus aureus,Vancomycin,2020,26.2,1.0,community,250
185,USA,North America,Staphylococcus aureus,Vancomycin,2021,11.1,6.3,community,200
186,Japan,East Asia,Pseudomonas aeruginosa,Ceftriaxone,2021,21.5,8.7,community,150
187,France,Europe,Klebsiella pneumoniae,Vancomycin,2018,14.0,7.5,hospital,300
188,South Africa,Africa,Klebsiella pneumoniae,Vancomycin,2019,44.8,7.6,hospital,200
189,India,Southeast Asia,Staphylococcus aureus,Amoxicillin,2023,73.6,14.2,hospital,250
190,France,Europe,Klebsiella pneumoniae,Ciprofloxacin,2020,25.8,3.7,hospital,150
191,China,East Asia,Acinetobacter baumannii,Ceftriaxone,2019,33.9,6.9,community,300
192,Brazil,South America,Klebsiella pneumoniae,Ceftriaxone,2020,31.0,3.4,community,300
193,Nigeria,Africa,Klebsiella pneumoniae,Ciprofloxacin,2022,33.2,7.6,hospital,150
194,South Africa,Africa,Klebsiella pneumoniae,Ciprofloxacin,2022,55.4,14.9,hospital,200
195,Germany,Europe,Escherichia coli,Amoxicillin,2018,19.8,5.6,community,100
196,USA,North America,Escherichia coli,Amoxicillin,2021,29.7,2.0,hospital,200
197,Japan,East Asia,Acinetobacter baumannii,Ceftriaxone,2018,35.7,4.8,community,100
198,India,Southeast Asia,Escherichia coli,Ceftriaxone,2021,48.5,6.6,hospital,300
199,China,East Asia,Escherichia coli,Vancomycin,2021,44.4,5.3,community,250
200,Brazil,South America,Staphylococcus aureus,Meropenem,2022,34.8,6.5,community,100
201,China,East Asia,Escherichia coli,Amoxicillin,2020,42.6,3.5,community,100
202,India,Southeast Asia,Klebsiella pneumoniae,Vancomycin,2022,74.7,14.3,community,100
203,South Africa,Africa,Pseudomonas aeruginosa,Ciprofloxacin,2018,64.6,15.7,hospital,200
204,China,East Asia,Acinetobacter baumannii,Ciprofloxacin,2020,30.4,2.5,community,100
205,India,Southeast Asia,Acinetobacter baumannii,Ciprofloxacin,2023,60.9,15.2,community,150
206,France,Europe,Klebsiella pneumoniae,Meropenem,2019,31.6,7.4,community,100
207,Japan,East Asia,Pseudomonas aeruginosa,Ceftriaxone,2023,34.6,11.9,community,150
208,Nigeria,Africa,Klebsiella pneumoniae,Ciprofloxacin,2018,36.7,3.6,hospital,200
209,Germany,Europe,Acinetobacter baumannii,Meropenem,2022,21.8,7.9,hospital,150
210,USA,North America,Escherichia coli,Meropenem,2020,9.6,3.7,community,300
211,Japan,East Asia,Staphylococcus aureus,Vancomycin,2019,34.7,4.3,hospital,100
212,Australia,Oceania,Escherichia coli,Ceftriaxone,2023,32.6,3.2,community,300
213,USA,North America,Klebsiella pneumoniae,Ceftriaxone,2018,14.3,0.5,community,150
214,China,East Asia,Pseudomonas aeruginosa,Vancomycin,2023,44.9,13.6,community,300
215,Australia,Oceania,Acinetobacter baumannii,Amoxicillin,2021,23.4,8.7,hospital,250
216,Japan,East Asia,Acinetobacter baumannii,Meropenem,2020,33.3,5.3,community,250
217,France,Europe,Escherichia coli,Vancomycin,2023,33.6,5.9,hospital,150
218,South Africa,Africa,Pseudomonas aeruginosa,Ciprofloxacin,2018,28.6,3.4,community,150
219,China,East Asia,Staphylococcus aureus,Amoxicillin,2023,45.9,8.9,community,100
220,France,Europe,Staphylococcus aureus,Amoxicillin,2019,30.7,1.4,hospital,200
221,China,East Asia,Acinetobacter baumannii,Meropenem,2019,22.7,8.9,hospital,150
222,India,Southeast Asia,Pseudomonas aeruginosa,Meropenem,2018,33.8,3.4,hospital,250
223,China,East Asia,Acinetobacter baumannii,Ciprofloxacin,2020,21.9,9.0,community,200
224,China,East Asia,Escherichia coli,Ciprofloxacin,2023,27.7,1.7,community,150
225,France,Europe,Staphylococcus aureus,Vancomycin,2022,20.1,1.5,community,250
226,China,East Asia,Escherichia coli,Amoxicillin,2020,19.5,8.8,community,150
227,France,Europe,Escherichia coli,Amoxicillin,2020,20.5,8.1,community,300
228,India,Southeast Asia,Escherichia coli,Meropenem,2019,62.7,13.3,hospital,150
229,USA,North America,Pseudomonas aeruginosa,Amoxicillin,2021,25.8,8.9,community,100
230,Japan,East Asia,Staphylococcus aureus,Meropenem,2018,30.9,8.4,community,300
231,Japan,East Asia,Staphylococcus aureus,Amoxicillin,2022,22.0,7.3,community,150
232,Nigeria,Africa,Pseudomonas aeruginosa,Ceftriaxone,2020,34.7,11.3,hospital,250
233,China,East Asia,Klebsiella pneumoniae,Ciprofloxacin,2018,30.8,3.7,hospital,150
234,China,East Asia,Staphylococcus aureus,Meropenem,2021,38.7,7.5,hospital,150
235,Germany,Europe,Pseudomonas aeruginosa,Ceftriaxone,2018,27.0,4.7,community,300
236,Japan,East Asia,Pseudomonas aeruginosa,Ceftriaxone,2023,34.1,9.6,community,300
237,Australia,Oceania,Escherichia coli,Vancomycin,2020,8.2,2.6,community,150
238,India,Southeast Asia,Acinetobacter baumannii,Ciprofloxacin,2020,33.3,9.9,hospital,300
239,Australia,Oceania,Klebsiella pneumoniae,Ceftriaxone,2019,15.4,3.9,hospital,200
240,Brazil,South America,Acinetobacter baumannii,Ciprofloxacin,2018,41.6,6.3,community,250
241,Brazil,South America,Acinetobacter baumannii,Ciprofloxacin,2021,37.6,6.9,community,300
242,Brazil,South America,Klebsiella pneumoniae,Amoxicillin,2020,35.0,6.0,community,250
243,China,East Asia,Pseudomonas aeruginosa,Vancomycin,2022,32.3,4.0,community,100
244,Australia,Oceania,Pseudomonas aeruginosa,Ciprofloxacin,2018,7.4,3.6,community,150
245,Japan,East Asia,Escherichia coli,Amoxicillin,2020,30.2,3.8,community,250
246,USA,North America,Klebsiella pneumoniae,Vancomycin,2019,17.8,7.7,community,250
247,Japan,East Asia,Acinetobacter baumannii,Vancomycin,2018,24.5,7.5,hospital,150
248,Brazil,South America,Klebsiella pneumoniae,Meropenem,2023,48.9,8.3,hospital,200
249,India,Southeast Asia,Escherichia coli,Vancomycin,2023,74.0,10.3,hospital,150
250,India,Southeast Asia,Klebsiella pneumoniae,Ceftriaxone,2023,79.1,12.3,community,200
251,Australia,Oceania,Staphylococcus aureus,Ciprofloxacin,2023,23.5,6.4,community,100
252,USA,North America,Klebsiella pneumoniae,Meropenem,2019,15.0,1.0,community,200
253,China,East Asia,Klebsiella pneumoniae,Vancomycin,2023,40.8,7.4,community,300
254,France,Europe,Acinetobacter baumannii,Amoxicillin,2023,26.2,5.5,community,200
255,Germany,Europe,Pseudomonas aeruginosa,Vancomycin,2023,24.9,9.8,community,150
256,China,East Asia,Staphylococcus aureus,Ceftriaxone,2018,26.7,8.9,hospital,200
257,India,Southeast Asia,Acinetobacter baumannii,Ceftriaxone,2020,60.5,15.1,hospital,300
258,USA,North America,Acinetobacter baumannii,Meropenem,2018,7.0,5.3,community,200
259,Japan,East Asia,Escherichia coli,Ciprofloxacin,2019,29.6,4.5,community,200
260,China,East Asia,Escherichia coli,Meropenem,2019,41.7,9.2,hospital,250
261,Germany,Europe,Acinetobacter baumannii,Ciprofloxacin,2018,16.6,5.3,hospital,250
262,USA,North America,Acinetobacter baumannii,Meropenem,2021,27.3,3.9,community,200
263,Brazil,South America,Pseudomonas aeruginosa,Ciprofloxacin,2023,33.7,3.1,community,250
264,Australia,Oceania,Escherichia coli,Meropenem,2021,27.9,6.5,hospital,200
265,South Africa,Africa,Escherichia coli,Vancomycin,2021,34.4,11.7,hospital,250
266,China,East Asia,Staphylococcus aureus,Vancomycin,2021,29.3,8.8,community,100
267,India,Southeast Asia,Escherichia coli,Meropenem,2023,54.6,15.8,hospital,150
268,South Africa,Africa,Pseudomonas aeruginosa,Meropenem,2018,46.8,10.4,hospital,250
269,France,Europe,Pseudomonas aeruginosa,Ceftriaxone,2022,18.1,0.5,hospital,250
270,Germany,Europe,Staphylococcus aureus,Amoxicillin,2018,24.9,9.9,community,200
271,Brazil,South America,Pseudomonas aeruginosa,Ceftriaxone,2019,30.8,10.0,community,300
272,Germany,Europe,Acinetobacter baumannii,Vancomycin,2020,29.2,10.5,community,100
273,Australia,Oceania,Staphylococcus aureus,Ceftriaxone,2018,19.2,5.3,hospital,150
274,Brazil,South America,Pseudomonas aeruginosa,Vancomycin,2019,50.2,14.5,hospital,100
275,Japan,East Asia,Staphylococcus aureus,Meropenem,2022,43.6,6.0,hospital,100
276,China,East Asia,Klebsiella pneumoniae,Ciprofloxacin,2018,37.6,10.2,community,150
277,South Africa,Africa,Acinetobacter baumannii,Vancomycin,2021,52.4,6.5,community,300
278,China,East Asia,Klebsiella pneumoniae,Vancomycin,2021,37.6,6.3,community,100
279,France,Europe,Pseudomonas aeruginosa,Ciprofloxacin,2021,14.2,0.5,hospital,250
280,China,East Asia,Klebsiella pneumoniae,Ciprofloxacin,2018,16.2,1.4,hospital,300
281,South Africa,Africa,Escherichia coli,Amoxicillin,2018,61.5,9.5,hospital,250
282,India,Southeast Asia,Pseudomonas aeruginosa,Meropenem,2020,36.8,8.0,hospital,150
283,South Africa,Africa,Escherichia coli,Meropenem,2018,27.6,3.2,community,150
284,Japan,East Asia,Klebsiella pneumoniae,Ceftriaxone,2019,20.5,7.3,hospital,100
285,India,Southeast Asia,Pseudomonas aeruginosa,Ciprofloxacin,2018,31.0,10.9,hospital,250
286,USA,North America,Staphylococcus aureus,Amoxicillin,2019,22.8,0.5,hospital,200
287,South Africa,Africa,Pseudomonas aeruginosa,Ceftriaxone,2020,50.6,11.1,hospital,200
288,India,Southeast Asia,Klebsiella pneumoniae,Ceftriaxone,2023,45.5,11.0,community,250
289,USA,North America,Escherichia coli,Ciprofloxacin,2019,26.9,7.9,hospital,200
290,Australia,Oceania,Acinetobacter baumannii,Meropenem,2019,10.8,5.2,hospital,100
291,Nigeria,Africa,Escherichia coli,Ciprofloxacin,2018,52.8,11.7,community,150
292,South Africa,Africa,Pseudomonas aeruginosa,Ciprofloxacin,2022,54.9,10.5,hospital,150
293,France,Europe,Staphylococcus aureus,Ciprofloxacin,2019,28.5,3.3,community,100
294,China,East Asia,Acinetobacter baumannii,Ciprofloxacin,2019,18.9,0.5,hospital,200
295,France,Europe,Escherichia coli,Ceftriaxone,2022,25.9,4.0,hospital,150
296,India,Southeast Asia,Acinetobacter baumannii,Meropenem,2019,65.1,11.8,hospital,100
297,France,Europe,Pseudomonas aeruginosa,Amoxicillin,2021,17.2,7.1,community,150
298,South Africa,Africa,Klebsiella pneumoniae,Amoxicillin,2023,44.8,13.1,community,200
299,China,East Asia,Acinetobacter baumannii,Amoxicillin,2023,44.4,11.0,community,300
300,Australia,Oceania,Klebsiella pneumoniae,Amoxicillin,2018,12.0,3.5,hospital,200
301,South Africa,Africa,Klebsiella pneumoniae,Ceftriaxone,2020,48.4,13.5,hospital,300
302,Nigeria,Africa,Staphylococcus aureus,Vancomycin,2019,38.7,6.3,hospital,300
303,USA,North America,Klebsiella pneumoniae,Meropenem,2019,14.4,0.5,hospital,150
